lon,lat,ele,time,extensions,event,date,hrminsec
-79.54506944864988,8.935983516275883,46.79999923706055,2016-01-31T12:47:41.000Z,94,Bike,2016-01-31,2016-01-31T12:47:41Z
-79.54506458714604,8.936075465753675,46.599998474121094,2016-01-31T12:47:42.000Z,94,Bike,2016-01-31,2016-01-31T12:47:42Z
-79.54505947418511,8.936167415231466,46.79999923706055,2016-01-31T12:47:43.000Z,93,Bike,2016-01-31,2016-01-31T12:47:43Z
-79.54505578614771,8.93625995144248,46.79999923706055,2016-01-31T12:47:44.000Z,94,Bike,2016-01-31,2016-01-31T12:47:44Z
-79.54505109228194,8.936355002224445,46.79999923706055,2016-01-31T12:47:45.000Z,94,Bike,2016-01-31,2016-01-31T12:47:45Z
-79.54504371620715,8.936448292806745,46.599998474121094,2016-01-31T12:47:46.000Z,96,Bike,2016-01-31,2016-01-31T12:47:46Z
-79.54503516666591,8.936543595045805,46.599998474121094,2016-01-31T12:47:47.000Z,97,Bike,2016-01-31,2016-01-31T12:47:47Z
-79.54502779059112,8.9366405736655,46.599998474121094,2016-01-31T12:47:48.000Z,96,Bike,2016-01-31,2016-01-31T12:47:48Z
-79.545022174716,8.936736546456814,46.599998474121094,2016-01-31T12:47:49.000Z,96,Bike,2016-01-31,2016-01-31T12:47:49Z
-79.54501630738378,8.936830339953303,46.79999923706055,2016-01-31T12:47:50.000Z,97,Bike,2016-01-31,2016-01-31T12:47:50Z
-79.54500876367092,8.936924217268825,47,2016-01-31T12:47:51.000Z,96,Bike,2016-01-31,2016-01-31T12:47:51Z
-79.54500222578645,8.937019100412726,46.79999923706055,2016-01-31T12:47:52.000Z,99,Bike,2016-01-31,2016-01-31T12:47:52Z
-79.54499769955873,8.937113145366311,47,2016-01-31T12:47:53.000Z,97,Bike,2016-01-31,2016-01-31T12:47:53Z
-79.5449941791594,8.937205849215388,47.599998474121094,2016-01-31T12:47:54.000Z,95,Bike,2016-01-31,2016-01-31T12:47:54Z
-79.54499015584588,8.937301067635417,47.400001525878906,2016-01-31T12:47:55.000Z,98,Bike,2016-01-31,2016-01-31T12:47:55Z
-79.54498529434204,8.937395615503192,47.20000076293945,2016-01-31T12:47:56.000Z,98,Bike,2016-01-31,2016-01-31T12:47:56Z
-79.54497825354338,8.93749033100903,47.20000076293945,2016-01-31T12:47:57.000Z,98,Bike,2016-01-31,2016-01-31T12:47:57Z
-79.54497054219246,8.937586890533566,47.20000076293945,2016-01-31T12:47:58.000Z,96,Bike,2016-01-31,2016-01-31T12:47:58Z
-79.54496190883219,8.937683869153261,47.20000076293945,2016-01-31T12:47:59.000Z,98,Bike,2016-01-31,2016-01-31T12:47:59Z
-79.54495327547193,8.937780680134892,47,2016-01-31T12:48:00.000Z,98,Bike,2016-01-31,2016-01-31T12:48:00Z
-79.54494480974972,8.937878999859095,47,2016-01-31T12:48:01.000Z,99,Bike,2016-01-31,2016-01-31T12:48:01Z
-79.54493718221784,8.937976565212011,46.400001525878906,2016-01-31T12:48:02.000Z,99,Bike,2016-01-31,2016-01-31T12:48:02Z
-79.54492854885757,8.93807320855558,46.400001525878906,2016-01-31T12:48:03.000Z,99,Bike,2016-01-31,2016-01-31T12:48:03Z
-79.54492276534438,8.938171528279781,46.599998474121094,2016-01-31T12:48:04.000Z,100,Bike,2016-01-31,2016-01-31T12:48:04Z
-79.54491782002151,8.938266914337873,46.599998474121094,2016-01-31T12:48:05.000Z,98,Bike,2016-01-31,2016-01-31T12:48:05Z
-79.54491497017443,8.938362300395966,46.400001525878906,2016-01-31T12:48:06.000Z,97,Bike,2016-01-31,2016-01-31T12:48:06Z
-79.54491714946926,8.938455926254392,46.400001525878906,2016-01-31T12:48:07.000Z,99,Bike,2016-01-31,2016-01-31T12:48:07Z
-79.54491782002151,8.938548965379596,46.599998474121094,2016-01-31T12:48:08.000Z,97,Bike,2016-01-31,2016-01-31T12:48:08Z
-79.5449220109731,8.938639238476753,46.599998474121094,2016-01-31T12:48:09.000Z,98,Bike,2016-01-31,2016-01-31T12:48:09Z
