lon,lat,ele,time,extensions,event,date,hrminsec
-79.5385548658669,8.923053005710244,41.599998474121094,2016-01-31T15:05:26.000Z,86,Run,2016-01-31,2016-01-31T15:05:26Z
-79.53843081369996,8.922909507527947,41.599998474121094,2016-01-31T15:05:31.000Z,85,Run,2016-01-31,2016-01-31T15:05:31Z
-79.53831916674972,8.922764416784048,41.599998474121094,2016-01-31T15:05:36.000Z,84,Run,2016-01-31,2016-01-31T15:05:36Z
-79.53819922171533,8.922620415687561,41.599998474121094,2016-01-31T15:05:41.000Z,85,Run,2016-01-31,2016-01-31T15:05:41Z
-79.53808346763253,8.92247524112463,41.599998474121094,2016-01-31T15:05:46.000Z,85,Run,2016-01-31,2016-01-31T15:05:46Z
-79.53796184621751,8.922337777912617,41.400001525878906,2016-01-31T15:05:51.000Z,85,Run,2016-01-31,2016-01-31T15:05:51Z
-79.53784542158246,8.922191765159369,41.79999923706055,2016-01-31T15:05:56.000Z,85,Run,2016-01-31,2016-01-31T15:05:56Z
-79.53773218207061,8.922043573111296,41.400001525878906,2016-01-31T15:06:01.000Z,85,Run,2016-01-31,2016-01-31T15:06:01Z
-79.5376087166369,8.921898063272238,41.20000076293945,2016-01-31T15:06:06.000Z,85,Run,2016-01-31,2016-01-31T15:06:06Z
-79.53748600557446,8.921755151823163,41,2016-01-31T15:06:11.000Z,85,Run,2016-01-31,2016-01-31T15:06:11Z
-79.53734150156379,8.92159229144454,41,2016-01-31T15:06:17.000Z,85,Run,2016-01-31,2016-01-31T15:06:17Z
-79.53727008774877,8.921510819345713,40.79999923706055,2016-01-31T15:06:20.000Z,85,Run,2016-01-31,2016-01-31T15:06:20Z
-79.53714905306697,8.921367907896638,41,2016-01-31T15:06:25.000Z,85,Run,2016-01-31,2016-01-31T15:06:25Z
-79.53702483326197,8.921229774132371,41.20000076293945,2016-01-31T15:06:30.000Z,84,Run,2016-01-31,2016-01-31T15:06:30Z
-79.53690631315112,8.921086443588138,41.20000076293945,2016-01-31T15:06:35.000Z,84,Run,2016-01-31,2016-01-31T15:06:35Z
-79.53678033314645,8.920946717262268,41.20000076293945,2016-01-31T15:06:40.000Z,85,Run,2016-01-31,2016-01-31T15:06:40Z
-79.53666399233043,8.920801123604178,41,2016-01-31T15:06:45.000Z,84,Run,2016-01-31,2016-01-31T15:06:45Z
-79.53653876669705,8.920664247125387,40.79999923706055,2016-01-31T15:06:50.000Z,85,Run,2016-01-31,2016-01-31T15:06:50Z
-79.53640046529472,8.920504823327065,41.20000076293945,2016-01-31T15:06:56.000Z,84,Run,2016-01-31,2016-01-31T15:06:56Z
-79.53627188690007,8.920375825837255,41.400001525878906,2016-01-31T15:07:01.000Z,85,Run,2016-01-31,2016-01-31T15:07:01Z
-79.5361319091171,8.920241380110383,41.20000076293945,2016-01-31T15:07:06.000Z,85,Run,2016-01-31,2016-01-31T15:07:06Z
-79.53598958440125,8.92008245922625,41.20000076293945,2016-01-31T15:07:12.000Z,84,Run,2016-01-31,2016-01-31T15:07:12Z
-79.53585698269308,8.919945498928428,41.20000076293945,2016-01-31T15:07:17.000Z,84,Run,2016-01-31,2016-01-31T15:07:17Z
-79.53570770099759,8.919788924977183,41.400001525878906,2016-01-31T15:07:23.000Z,85,Run,2016-01-31,2016-01-31T15:07:23Z
-79.53557677567005,8.919647689908743,41.400001525878906,2016-01-31T15:07:28.000Z,84,Run,2016-01-31,2016-01-31T15:07:28Z
-79.53543880954385,8.919489942491055,41.79999923706055,2016-01-31T15:07:34.000Z,85,Run,2016-01-31,2016-01-31T15:07:34Z
-79.53531769104302,8.91934803687036,41.400001525878906,2016-01-31T15:07:39.000Z,84,Run,2016-01-31,2016-01-31T15:07:39Z
-79.53519430942833,8.91920872963965,41.599998474121094,2016-01-31T15:07:44.000Z,85,Run,2016-01-31,2016-01-31T15:07:44Z
-79.53506556339562,8.919070847332478,41.599998474121094,2016-01-31T15:07:49.000Z,85,Run,2016-01-31,2016-01-31T15:07:49Z
-79.53493354842067,8.918936820700765,41.599998474121094,2016-01-31T15:07:54.000Z,84,Run,2016-01-31,2016-01-31T15:07:54Z
-79.53480320982635,8.918810253962874,41.400001525878906,2016-01-31T15:07:59.000Z,84,Run,2016-01-31,2016-01-31T15:07:59Z
-79.5346505753696,8.918659798800945,41.400001525878906,2016-01-31T15:08:05.000Z,85,Run,2016-01-31,2016-01-31T15:08:05Z
-79.53450481407344,8.918504230678082,41,2016-01-31T15:08:11.000Z,86,Run,2016-01-31,2016-01-31T15:08:11Z
-79.53437858261168,8.918368024751544,41,2016-01-31T15:08:16.000Z,86,Run,2016-01-31,2016-01-31T15:08:16Z
-79.53424355015159,8.918204829096794,41.20000076293945,2016-01-31T15:08:22.000Z,84,Run,2016-01-31,2016-01-31T15:08:22Z
-79.53411748632789,8.918074239045382,40.79999923706055,2016-01-31T15:08:27.000Z,86,Run,2016-01-31,2016-01-31T15:08:27Z
-79.533985638991,8.917913306504488,41.20000076293945,2016-01-31T15:08:33.000Z,85,Run,2016-01-31,2016-01-31T15:08:33Z
-79.5338442362845,8.917763689532876,41.599998474121094,2016-01-31T15:08:39.000Z,85,Run,2016-01-31,2016-01-31T15:08:39Z
-79.53375739976764,8.917691186070442,42,2016-01-31T15:08:42.000Z,85,Run,2016-01-31,2016-01-31T15:08:42Z
-79.53359110280871,8.917556153610349,42.20000076293945,2016-01-31T15:08:48.000Z,86,Run,2016-01-31,2016-01-31T15:08:48Z
-79.53343260101974,8.917414918541908,42.400001525878906,2016-01-31T15:08:54.000Z,84,Run,2016-01-31,2016-01-31T15:08:54Z
-79.53327015973628,8.917286423966289,42.599998474121094,2016-01-31T15:09:00.000Z,84,Run,2016-01-31,2016-01-31T15:09:00Z
-79.53311517834663,8.917149547487497,41.79999923706055,2016-01-31T15:09:06.000Z,85,Run,2016-01-31,2016-01-31T15:09:06Z
-79.53295349143445,8.917030356824398,42,2016-01-31T15:09:12.000Z,86,Run,2016-01-31,2016-01-31T15:09:12Z
-79.5328529085964,8.916939329355955,45,2016-01-31T15:09:16.000Z,86,Run,2016-01-31,2016-01-31T15:09:16Z
-79.53282633796334,8.91691762022674,43.599998474121094,2016-01-31T15:09:17.000Z,86,Run,2016-01-31,2016-01-31T15:09:17Z
-79.53272064216435,8.9168281853199,42.400001525878906,2016-01-31T15:09:21.000Z,87,Run,2016-01-31,2016-01-31T15:09:21Z
-79.53257655724883,8.916683681309223,42.20000076293945,2016-01-31T15:09:27.000Z,84,Run,2016-01-31,2016-01-31T15:09:27Z
-79.53244563192129,8.916547056287527,42,2016-01-31T15:09:32.000Z,85,Run,2016-01-31,2016-01-31T15:09:32Z
-79.53230758197606,8.91637816093862,41.79999923706055,2016-01-31T15:09:38.000Z,84,Run,2016-01-31,2016-01-31T15:09:38Z
-79.53216584399343,8.916238769888878,42,2016-01-31T15:09:44.000Z,85,Run,2016-01-31,2016-01-31T15:09:44Z
-79.53200859948993,8.916113460436463,42.20000076293945,2016-01-31T15:09:50.000Z,84,Run,2016-01-31,2016-01-31T15:09:50Z
-79.53184154815972,8.915978847071528,42.20000076293945,2016-01-31T15:09:56.000Z,84,Run,2016-01-31,2016-01-31T15:09:56Z
